"","n.500","n.1000","n.2000","n.4000","n.7000","n.10000"
"1",10,11,12,13,13,14
"2",9,11,12,13,14,14
"3",9,11,12,12,14,14
"4",10,11,11,12,13,14
"5",9,10,12,13,13,14
"6",10,11,11,13,13,14
"7",10,11,12,13,13,14
"8",9,11,12,13,13,14
"9",9,11,12,13,13,14
"10",10,11,12,13,14,14
"11",10,11,12,13,14,14
"12",9,11,12,13,13,14
"13",9,10,12,13,14,14
"14",9,11,12,12,13,14
"15",9,10,12,13,13,14
"16",9,11,12,13,14,14
"17",10,11,12,12,14,14
"18",10,11,12,13,14,14
"19",10,10,12,13,14,14
"20",9,11,12,13,13,14
"21",10,11,11,13,13,14
"22",10,11,12,12,13,14
"23",9,10,12,13,14,14
"24",10,10,12,13,14,14
"25",9,11,11,13,14,14
