Top500 #1,Year,Rmax (Tflops),Power (kW)
BlueGene/L,2007,280,1433
Roadrunner,2008,1026,2345
Roadrunner,2009,1105,2483
Jaguar,2010,1759,6950
K Computer,2011,8162,8773
Sequoia,2012,16324,7890
Tianhe2A,2013,33862,17808
Tianhe2A,2014,33862,17808
Tianhe2A,2015,33862,17808
Sunway TaihuLight,2016,93014,15317
Sunway TaihuLight,2017,93000,15371
Summit,2018,122300,8806
Summit,2019,148600,10096
Fugaku,2020,415000,28000
Fugaku,2021,442000,29899
Frontier,2022,1102000,21100
Frontier,2023,1194000,22703
Frontier,2024,1206000,22786
El Capitan,2025,1740690,29581
