ip,bytes_sent,bytes_recv,bytes_total
17.33.202.88,11712,10045,21757
99.84.234.27,18102,6245,24347
34.195.111.96,10111,1772,11883
45.40.130.49,6062,4253,10315
16.52.64.125,421349,139424,560773
142.251.32.74,301755,397284,699039
76.223.105.230,260607,11183,271790
17.179.252.2,15209,7725,22934
17.248.231.130,40372,22851,63223
142.251.32.78,2362160,197816,2559976
23.192.220.13,200933,10207,211140
142.251.41.33,74116,18229,92345
142.251.41.35,2226460,105398,2331858
184.31.27.142,7982,1884,9866
142.251.41.36,970034,150684,1120718
23.192.220.17,667833,51223,719056
17.145.8.1,15008,5193,20201
fe80::1,198058,1136,199194
34.111.138.51,305264,23728,328992
185.199.109.154,1390805,60128,1450933
34.160.122.198,96527,4722,101249
184.31.140.235,6168,1726,7894
17.33.203.39,27250,10180,37430
104.19.230.21,86308,3992,90300
162.159.136.232,192.168.2.68,0,1120,1120
17.33.192.58,37561,7347,44908
142.251.32.86,128098,15511,143609
142.251.41.42,492004,776143,1268147
142.251.41.46,739093,566641,1305734
34.110.138.217,601455,184126,785581
3.161.213.33,87286,20687,107973
3.161.213.35,6294,3181,9475
172.224.91.4,7133,11364,18497
40.89.244.232,1892613,283187,2175800
34.107.243.93,97168,164367,261535
104.208.16.88,10571,13234,23805
40.89.244.234,6546137,128661,6674798
172.224.91.6,10080,15224,25304
15.197.167.90,6683,3642,10325
172.224.91.7,10123,15564,25687
40.99.226.178,14243,10386,24629
172.224.91.9,10613,14853,25466
34.36.213.229,194238,5417,199655
17.171.47.23,255189,12821,268010
147.154.237.60,760766,98435,859201
17.253.20.45,1980,1980,3960
172.224.91.15,192.168.2.68,0,140,140
18.238.49.116,14854,4036,18890
23.60.178.185,101675,54582,156257
184.150.58.137,487530,16990,504520
142.251.41.54,1992670,86125,2078795
3.161.213.40,93792,21928,115720
23.51.58.119,15113,3647,18760
40.99.163.242,15668,9646,25314
162.159.130.232,24140,4892,29032
151.101.125.55,14641,12161,26802
162.159.130.234,100805,17366,118171
52.109.6.63,81339,154811,236150
162.125.4.17,4979,12249,17228
162.125.4.18,16414,9189,25603
162.159.135.233,954388,5711,960099
184.150.154.75,6685,1643,8328
76.76.21.241,18093,34429,52522
81.95.98.179,599004,16809,615813
40.112.143.140,36102,14544,50646
172.66.44.77,9968,2612,12580
74.125.0.70,15182954,448994,15631948
74.125.0.71,17431982,596904,18028886
17.157.64.79,6602,6372,12974
17.138.175.254,12326,4188,16514
172.66.47.179,11322,6771,18093
162.125.4.22,39367713,60360,39428073
34.49.51.44,5146,4013,9159
40.99.226.194,20584,12252,32836
207.164.234.193,1558,808,2366
74.125.174.166,959010,14721,973731
104.18.160.117,4623,2912,7535
74.125.174.167,10690,7600,18290
74.125.174.168,56510747,842696,57353443
17.179.252.18,5721,11750,17471
fe80::1031:6a02:e924:44c2,304916,0,304916
142.250.69.106,95564,36501,132065
142.251.41.74,761607,1204960,1966567
140.82.112.25,40608,78526,119134
142.251.41.78,2244889,550951,2795840
140.82.112.26,28083,26842,54925
172.224.186.197,6823,10693,17516
185.199.111.133,11494,4432,15926
18.238.80.106,164874,23468,188342
151.101.1.229,87543,7984,95527
104.18.86.42,123666,12488,136154
169.150.219.114,745074,51813,796887
17.111.103.19,6106,54333,60439
ff02::16,0,1170,1170
18.212.47.155,1960,3230,5190
52.168.117.174,7859,5745,13604
72.251.236.55,42905,8668,51573
142.251.41.83,449941,55802,505743
172.224.91.11,192.168.2.68,0,280,280
52.109.16.3,8611,8232,16843
34.216.175.146,4006,2757,6763
52.109.16.4,71649,35179,106828
142.251.41.86,411145,44282,455427
17.137.162.3,115986,40123,156109
104.244.43.131,361,275,636
